type,base unit xs,base unit ys,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25
parallelogram,435.0,251.0,90.0,158.85,126.0,158.85,162.0,158.85,198.0,158.85,234.0,158.85,108.0,127.08,144.0,127.08,180.0,127.08,216.0,127.08,252.0,127.08,126.0,95.30999999999999,162.0,95.30999999999999,198.0,95.30999999999999,234.0,95.30999999999999,270.0,95.30999999999999,144.0,63.53999999999999,180.0,63.53999999999999,216.0,63.53999999999999,252.0,63.53999999999999,288.0,63.53999999999999,162.0,31.769999999999996,198.0,31.769999999999996,234.0,31.769999999999996,270.0,31.769999999999996,306.0,31.769999999999996
parallelogram,342.0,87.0,72.0,127.08,108.0,127.08,144.0,127.08,180.0,127.08,216.0,127.08,90.0,95.31,126.0,95.31,162.0,95.31,198.0,95.31,234.0,95.31,108.0,63.53999999999999,144.0,63.53999999999999,180.0,63.53999999999999,216.0,63.53999999999999,252.0,63.53999999999999,126.0,31.769999999999996,162.0,31.769999999999996,198.0,31.769999999999996,234.0,31.769999999999996,270.0,31.769999999999996,144.0,0.0,180.0,0.0,216.0,0.0,252.0,0.0,288.0,0.0
parallelogram,528.0,87.0,108.0,127.08,144.0,127.08,180.0,127.08,216.0,127.08,252.0,127.08,126.0,95.31,162.0,95.31,198.0,95.31,234.0,95.31,270.0,95.31,144.0,63.53999999999999,180.0,63.53999999999999,216.0,63.53999999999999,252.0,63.53999999999999,288.0,63.53999999999999,162.0,31.769999999999996,198.0,31.769999999999996,234.0,31.769999999999996,270.0,31.769999999999996,306.0,31.769999999999996,180.0,0.0,216.0,0.0,252.0,0.0,288.0,0.0,324.0,0.0
parallelogram,None,None,90.0,158.85,126.0,158.85,162.0,158.85,198.0,158.85,234.0,158.85,108.0,127.08,144.0,127.08,180.0,127.08,216.0,127.08,252.0,127.08,126.0,95.30999999999999,162.0,95.30999999999999,198.0,95.30999999999999,234.0,95.30999999999999,270.0,95.30999999999999,144.0,63.53999999999999,180.0,63.53999999999999,216.0,63.53999999999999,252.0,63.53999999999999,288.0,63.53999999999999,162.0,31.769999999999996,198.0,31.769999999999996,234.0,31.769999999999996,270.0,31.769999999999996,306.0,31.769999999999996
parallelogram,None,None,54.0,158.85,90.0,158.85,126.0,158.85,162.0,158.85,198.0,158.85,72.0,127.08,108.0,127.08,144.0,127.08,180.0,127.08,216.0,127.08,90.0,95.30999999999999,126.0,95.30999999999999,162.0,95.30999999999999,198.0,95.30999999999999,234.0,95.30999999999999,108.0,63.53999999999999,144.0,63.53999999999999,180.0,63.53999999999999,216.0,63.53999999999999,252.0,63.53999999999999,126.0,31.769999999999996,162.0,31.769999999999996,198.0,31.769999999999996,234.0,31.769999999999996,270.0,31.769999999999996
parallelogram,None,None,72.0,127.08,108.0,127.08,144.0,127.08,180.0,127.08,216.0,127.08,90.0,95.31,126.0,95.31,162.0,95.31,198.0,95.31,234.0,95.31,108.0,63.53999999999999,144.0,63.53999999999999,180.0,63.53999999999999,216.0,63.53999999999999,252.0,63.53999999999999,126.0,31.769999999999996,162.0,31.769999999999996,198.0,31.769999999999996,234.0,31.769999999999996,270.0,31.769999999999996,144.0,0.0,180.0,0.0,216.0,0.0,252.0,0.0,288.0,0.0
parallelogram,None,None,90.0,158.85,126.0,158.85,162.0,158.85,198.0,158.85,234.0,158.85,108.0,127.08,144.0,127.08,180.0,127.08,216.0,127.08,252.0,127.08,126.0,95.30999999999999,162.0,95.30999999999999,198.0,95.30999999999999,234.0,95.30999999999999,270.0,95.30999999999999,144.0,63.53999999999999,180.0,63.53999999999999,216.0,63.53999999999999,252.0,63.53999999999999,288.0,63.53999999999999,162.0,31.769999999999996,198.0,31.769999999999996,234.0,31.769999999999996,270.0,31.769999999999996,306.0,31.769999999999996
