x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25
135.0,318.0,295.0,318.0,455.0,318.0,615.0,318.0,775.0,318.0,135.0,421.0,295.0,421.0,455.0,421.0,615.0,421.0,775.0,421.0,135.0,524.0,295.0,524.0,455.0,524.0,615.0,524.0,775.0,524.0,135.0,627.0,295.0,627.0,455.0,627.0,615.0,627.0,775.0,627.0,135.0,730.0,295.0,730.0,455.0,730.0,615.0,730.0,775.0,730.0
69.0,230.0,229.0,230.0,389.0,230.0,549.0,230.0,709.0,230.0,69.0,333.0,229.0,333.0,389.0,333.0,549.0,333.0,709.0,333.0,69.0,436.0,229.0,436.0,389.0,436.0,549.0,436.0,709.0,436.0,69.0,539.0,229.0,539.0,389.0,539.0,549.0,539.0,709.0,539.0,69.0,642.0,229.0,642.0,389.0,642.0,549.0,642.0,709.0,642.0
229.0,215.0,389.0,215.0,549.0,215.0,709.0,215.0,869.0,215.0,229.0,318.0,389.0,318.0,549.0,318.0,709.0,318.0,869.0,318.0,229.0,421.0,389.0,421.0,549.0,421.0,709.0,421.0,869.0,421.0,229.0,524.0,389.0,524.0,549.0,524.0,709.0,524.0,869.0,524.0,229.0,627.0,389.0,627.0,549.0,627.0,709.0,627.0,869.0,627.0
135.0,318.0,295.0,318.0,455.0,318.0,615.0,318.0,775.0,318.0,135.0,421.0,295.0,421.0,455.0,421.0,615.0,421.0,775.0,421.0,135.0,524.0,295.0,524.0,455.0,524.0,615.0,524.0,775.0,524.0,135.0,627.0,295.0,627.0,455.0,627.0,615.0,627.0,775.0,627.0,135.0,730.0,295.0,730.0,455.0,730.0,615.0,730.0,775.0,730.0
